ID,Revenu (€),Montant du Prêt (€),Durée de l'Emploi (années),Historique de Crédit,Prêt Approuvé
107,1765,15967,1,Bon,Non
108,4341,9873,6,Bon,Non
109,2523,17246,8,Bon,Non
110,3811,3253,9,Bon,Oui
111,1546,11456,5,Bon,Non
112,3714,10646,3,Mauvais,Non
113,1781,13156,9,Mauvais,Non
114,3713,15553,5,Bon,Non
115,4901,17398,2,Mauvais,Non
116,2132,14432,5,Bon,Non
117,4920,3483,9,Bon,Oui
118,3645,16928,6,Bon,Non
119,3985,18457,1,Bon,Non
120,2763,10015,10,Mauvais,Non
121,2981,6146,10,Mauvais,Non
122,3990,13590,10,Mauvais,Non
123,3595,19956,6,Mauvais,Non
124,2239,7329,10,Mauvais,Non
125,2311,3723,5,Bon,Oui
126,3329,10238,7,Bon,Non
127,4541,11417,7,Mauvais,Non
128,4192,18307,5,Bon,Non
129,4158,3112,6,Mauvais,Non
130,2685,18274,1,Mauvais,Non
131,3395,17880,7,Mauvais,Non
132,3652,17720,1,Mauvais,Non
133,4989,2803,7,Mauvais,Non
134,1742,9934,2,Bon,Non
135,3493,3436,6,Bon,Oui
136,3976,7924,5,Bon,Oui
137,4526,5946,1,Mauvais,Non
138,3277,18799,4,Mauvais,Non
139,1692,17966,1,Bon,Non
140,1814,8719,5,Mauvais,Non
141,3439,6285,10,Mauvais,Non
142,1758,7248,2,Mauvais,Non
143,2671,13874,3,Mauvais,Non
144,4577,3010,8,Mauvais,Non
145,1787,15934,9,Mauvais,Non
146,2924,18775,6,Bon,Non
147,4083,10552,6,Bon,Non
148,4050,8805,1,Mauvais,Non
149,2858,2187,10,Mauvais,Non
150,3216,4701,9,Mauvais,Non
151,2250,15474,8,Bon,Non
152,2937,5693,2,Bon,Oui
153,3192,18130,10,Mauvais,Non
154,4554,7677,5,Mauvais,Non
155,2525,14221,10,Mauvais,Non
156,4824,11421,10,Bon,Non
157,3596,18752,4,Mauvais,Non
158,3526,18518,7,Bon,Non
159,3432,7070,6,Mauvais,Non
160,2725,19017,2,Mauvais,Non
161,2677,10564,5,Mauvais,Non
162,2858,3368,8,Bon,Oui
163,2596,8914,6,Mauvais,Non
164,4551,13227,4,Mauvais,Non
165,3095,14192,6,Bon,Non
166,3351,16217,1,Bon,Non
167,3342,4538,3,Bon,Oui
168,4173,15172,6,Bon,Non
169,2897,16291,2,Bon,Non
170,4751,16503,6,Mauvais,Non
171,1761,19298,4,Mauvais,Non
172,3978,2392,5,Bon,Oui
173,2891,19498,5,Bon,Non
174,4931,17498,7,Bon,Non
175,1674,12483,5,Bon,Non
176,2725,17865,6,Mauvais,Non
177,3696,3403,7,Bon,Oui
178,1627,16801,6,Bon,Non
179,3270,15117,6,Mauvais,Non
180,2928,17850,2,Mauvais,Non
181,1820,7300,9,Bon,Non
182,2633,13446,8,Bon,Non
183,3565,16579,3,Bon,Non
184,3096,14799,4,Bon,Non
185,3556,14439,7,Mauvais,Non
186,1936,11655,6,Mauvais,Non
187,2493,11140,9,Mauvais,Non
188,3319,8708,2,Bon,Non
189,1748,3360,1,Bon,Oui
190,4492,13621,9,Bon,Non
191,1568,15371,1,Bon,Non
192,2482,19850,4,Mauvais,Non
193,3048,19326,1,Bon,Non
194,4225,16325,3,Bon,Non
195,1791,14516,6,Mauvais,Non
196,2319,18968,1,Bon,Non
197,1559,7552,2,Bon,Non
198,3817,18981,1,Mauvais,Non
199,4557,10769,3,Bon,Non
200,2638,11341,5,Bon,Non
201,3541,10431,7,Bon,Non
202,1660,8886,1,Bon,Non
203,1624,5386,7,Mauvais,Non
204,3967,16989,2,Mauvais,Non
205,4579,5745,10,Mauvais,Non
206,1700,16887,2,Mauvais,Non
207,4094,4664,4,Mauvais,Non
208,2597,3566,7,Mauvais,Non
209,4963,3056,8,Bon,Oui
210,4251,11283,5,Mauvais,Non
211,2686,2492,4,Mauvais,Non
212,4789,18277,5,Mauvais,Non
213,1774,16604,7,Mauvais,Non
214,4810,15609,5,Bon,Non
215,2698,6821,5,Bon,Non
216,4811,10959,2,Mauvais,Non
217,2032,4487,8,Mauvais,Non
218,3924,13188,7,Bon,Non
219,4471,17851,9,Mauvais,Non
220,2143,9797,8,Mauvais,Non
221,2691,13026,5,Mauvais,Non
222,4044,17160,9,Bon,Non
223,2098,4856,7,Mauvais,Non
224,4151,11276,7,Bon,Non
225,3783,3524,3,Mauvais,Non
226,2387,17968,9,Mauvais,Non
227,4955,2593,3,Mauvais,Non
228,4810,14580,4,Mauvais,Non
229,3308,7498,5,Bon,Non
230,1737,11185,1,Bon,Non
231,2674,9747,9,Bon,Non
232,2721,19378,8,Bon,Non
233,4123,6448,4,Bon,Oui
234,1870,14975,2,Mauvais,Non
235,4559,12356,3,Bon,Non
236,4231,5541,4,Mauvais,Non
237,3068,17640,4,Bon,Non
238,2522,8631,2,Mauvais,Non
239,4377,8820,7,Bon,Non
240,4311,9923,4,Bon,Non
241,3629,14791,3,Bon,Non
242,2376,11956,9,Bon,Non
243,2501,5446,7,Bon,Non
244,4108,8641,10,Mauvais,Non
245,4012,10220,3,Bon,Non
246,4623,9229,4,Mauvais,Non
247,2962,8184,8,Bon,Non
248,3558,11053,9,Mauvais,Non
249,4668,7318,5,Bon,Oui
250,4996,10760,7,Bon,Non
251,3432,9312,8,Bon,Non
252,1629,19952,5,Mauvais,Non
253,3382,12908,7,Mauvais,Non
254,4875,18711,4,Bon,Non
255,2446,9770,10,Mauvais,Non
256,1924,18210,9,Mauvais,Non
257,2947,19879,6,Mauvais,Non
258,3829,16669,2,Bon,Non
259,3369,14791,7,Mauvais,Non
260,1605,9713,1,Bon,Non
261,3004,17306,4,Bon,Non
262,2179,3545,9,Mauvais,Non
263,3726,9194,4,Mauvais,Non
264,4272,9116,5,Bon,Non
265,2378,13702,6,Mauvais,Non
266,4783,7209,10,Mauvais,Non
267,4121,7894,9,Mauvais,Non
268,3926,3818,4,Mauvais,Non
269,3699,5908,4,Bon,Oui
270,2684,2564,1,Bon,Oui
271,3112,12479,1,Bon,Non
272,1696,14514,2,Bon,Non
273,4331,9347,4,Mauvais,Non
274,3945,2775,6,Bon,Oui
275,2379,7804,4,Mauvais,Non
276,2771,5487,5,Bon,Oui
277,4074,10136,1,Mauvais,Non
278,3758,8655,4,Bon,Non
279,4647,16572,10,Bon,Non
280,4455,7117,3,Mauvais,Non
281,3869,15158,5,Mauvais,Non
282,4710,19763,4,Bon,Non
283,3568,6171,7,Mauvais,Non
284,2238,7112,6,Bon,Non
285,4212,15684,8,Bon,Non
286,3061,4050,2,Bon,Oui
287,1552,17329,5,Mauvais,Non
288,4782,11375,3,Mauvais,Non
289,2933,7137,9,Bon,Non
290,3611,15745,9,Mauvais,Non
291,3193,15975,1,Mauvais,Non
292,4640,4359,5,Bon,Oui
293,3601,2571,6,Mauvais,Non
294,4052,11237,3,Bon,Non
295,2159,9609,2,Bon,Non
296,4319,19387,8,Bon,Non
297,1926,19691,7,Bon,Non
298,1971,15237,1,Bon,Non
299,3224,7632,7,Bon,Non
300,2395,8964,6,Mauvais,Non
301,4831,14165,4,Bon,Non
302,4717,4701,5,Mauvais,Non
303,4120,9363,7,Bon,Non
304,3589,17576,4,Bon,Non
305,2209,19394,7,Bon,Non
306,4271,8816,5,Mauvais,Non
307,2806,9359,4,Mauvais,Non
308,2884,16875,5,Bon,Non
309,2225,7018,6,Mauvais,Non
310,1628,15141,3,Mauvais,Non
311,3368,12197,8,Bon,Non
312,4062,11105,5,Bon,Non
313,3067,17975,4,Mauvais,Non
314,4690,18717,7,Bon,Non
315,2106,13344,1,Mauvais,Non
316,2405,6461,6,Bon,Non
317,3309,19365,5,Mauvais,Non
318,4411,18352,1,Mauvais,Non
319,1943,12538,4,Mauvais,Non
320,4979,3633,10,Mauvais,Non
321,3410,10668,7,Bon,Non
322,1757,11733,6,Mauvais,Non
323,3426,14265,6,Bon,Non
324,2750,5897,1,Mauvais,Non
325,2355,9955,4,Bon,Non
326,2177,10814,5,Bon,Non
327,3790,8924,9,Bon,Non
328,1728,18656,2,Bon,Non
329,2901,4063,3,Mauvais,Non
330,4939,9486,8,Mauvais,Non
331,3924,6508,6,Mauvais,Non
332,4511,8673,7,Bon,Oui
333,3621,6368,3,Mauvais,Non
334,2324,5448,7,Mauvais,Non
335,1595,16705,2,Bon,Non
336,2637,5777,6,Mauvais,Non
337,1549,14301,9,Bon,Non
338,1968,18004,1,Mauvais,Non
339,4710,17849,1,Mauvais,Non
340,4050,13822,6,Mauvais,Non
341,2885,13826,9,Mauvais,Non
342,3592,15570,7,Bon,Non
343,3922,6510,9,Bon,Oui
344,4354,6728,8,Mauvais,Non
345,1925,9517,6,Bon,Non
346,4393,9189,4,Bon,Non
347,4204,16202,3,Mauvais,Non
348,4862,3545,8,Bon,Oui
349,2821,15098,1,Bon,Non
350,2712,11677,10,Mauvais,Non
351,3623,5140,4,Bon,Oui
352,4193,9663,4,Bon,Non
353,2018,14088,3,Mauvais,Non
354,4708,2142,2,Bon,Oui
355,2250,12606,2,Bon,Non
356,3109,9709,7,Bon,Non
357,4493,8454,2,Bon,Oui
358,3672,9608,2,Mauvais,Non
359,2285,17627,8,Bon,Non
360,3039,10581,3,Mauvais,Non
361,2670,13105,1,Mauvais,Non
362,1699,8158,5,Bon,Non
363,1978,8728,2,Bon,Non
364,1994,15987,7,Bon,Non
365,1633,14620,6,Bon,Non
366,3840,5770,3,Mauvais,Non
367,2955,16627,8,Mauvais,Non
368,1895,7887,5,Bon,Non
369,3532,15171,3,Bon,Non
370,2640,3127,3,Mauvais,Non
371,2325,16672,9,Bon,Non
372,2584,3379,8,Mauvais,Non
373,3526,9804,5,Mauvais,Non
374,2442,15419,1,Bon,Non
375,4291,6288,7,Bon,Oui
376,3425,7863,5,Mauvais,Non
377,4751,17782,2,Bon,Non
378,1726,11956,1,Bon,Non
379,4237,3921,7,Bon,Oui
380,4448,9396,10,Bon,Non
381,3481,9299,6,Mauvais,Non
382,4125,19049,10,Mauvais,Non
383,3312,6567,3,Mauvais,Non
384,2321,15335,8,Bon,Non
385,4258,16204,3,Mauvais,Non
386,1987,4518,1,Bon,Non
387,2324,14240,8,Mauvais,Non
388,2180,5065,8,Bon,Non
389,4478,11467,2,Bon,Non
390,3344,18673,1,Mauvais,Non
391,3275,8981,7,Mauvais,Non
392,3514,4323,2,Mauvais,Non
393,3582,19996,6,Bon,Non
394,1877,8979,1,Bon,Non
395,2938,3347,5,Bon,Oui
396,3094,8668,10,Mauvais,Non
397,3371,15300,4,Mauvais,Non
398,3153,14890,7,Mauvais,Non
399,2742,17630,5,Mauvais,Non
400,3389,7966,6,Bon,Non
401,3449,14103,4,Mauvais,Non
402,2867,3942,3,Mauvais,Non
403,1714,5677,1,Bon,Non
404,4144,19442,6,Mauvais,Non
405,2255,19833,8,Bon,Non
406,2166,16165,6,Mauvais,Non
407,2028,11094,7,Mauvais,Non
408,4425,8666,2,Bon,Oui
409,2205,3666,8,Bon,Oui
410,2603,17196,4,Mauvais,Non
411,4188,3253,3,Bon,Oui
412,3246,3512,10,Bon,Oui
413,3460,15450,1,Bon,Non
414,4223,5482,3,Bon,Oui
415,1516,4848,4,Bon,Non
416,3550,15737,8,Mauvais,Non
417,1563,3264,7,Mauvais,Non
418,3682,12114,3,Mauvais,Non
419,3219,11463,4,Bon,Non
420,2676,5994,3,Mauvais,Non
421,2048,12904,1,Bon,Non
422,4794,2271,8,Mauvais,Non
423,3060,19394,6,Bon,Non
424,4203,17315,4,Mauvais,Non
425,4856,9863,6,Bon,Non
426,2543,12236,9,Mauvais,Non
427,4663,16006,3,Mauvais,Non
428,3469,2505,5,Mauvais,Non
429,2713,17343,8,Mauvais,Non
430,3176,19465,8,Mauvais,Non
431,3532,10379,4,Bon,Non
432,2663,10824,2,Mauvais,Non
433,1834,7296,4,Mauvais,Non
434,3895,7811,5,Bon,Non
435,3471,19813,9,Bon,Non
436,1932,10263,7,Mauvais,Non
437,3397,19134,7,Mauvais,Non
438,1614,12822,5,Bon,Non
439,4646,7511,5,Mauvais,Non
440,2437,10252,2,Mauvais,Non
441,3324,5753,5,Mauvais,Non
442,3477,10210,6,Bon,Non
443,4592,2333,7,Mauvais,Non
444,4533,11781,9,Mauvais,Non
445,4690,16026,10,Mauvais,Non
446,2067,7626,3,Bon,Non
447,2163,4577,2,Bon,Non
448,4573,7658,9,Mauvais,Non
449,2584,2477,10,Bon,Oui
450,3941,5130,10,Mauvais,Non
451,4496,17476,1,Mauvais,Non
452,2091,9433,5,Bon,Non
453,2525,9877,6,Mauvais,Non
454,2594,18178,5,Mauvais,Non
455,1805,5181,8,Bon,Non
456,4312,19333,8,Mauvais,Non
457,4816,5204,3,Bon,Oui
458,3774,4617,4,Bon,Oui
459,4063,5076,3,Mauvais,Non
460,2363,6221,7,Mauvais,Non
461,2811,19760,6,Mauvais,Non
462,4735,7713,3,Bon,Oui
463,2951,7782,3,Mauvais,Non
464,4447,18871,2,Mauvais,Non
465,2777,14719,2,Mauvais,Non
466,2060,18424,9,Bon,Non
467,3317,3688,2,Mauvais,Non
468,3692,2759,7,Bon,Oui
469,3664,11306,1,Bon,Non
470,4198,16216,2,Mauvais,Non
471,4968,13151,1,Bon,Non
472,2427,4824,9,Bon,Oui
473,4995,3031,2,Mauvais,Non
474,3669,7380,10,Mauvais,Non
475,1552,2820,9,Mauvais,Non
476,4824,16052,5,Bon,Non
477,1711,5525,3,Mauvais,Non
478,2592,2641,10,Mauvais,Non
479,4026,15764,8,Mauvais,Non
480,4500,16297,9,Mauvais,Non
481,2940,12689,8,Bon,Non
482,4628,2453,2,Bon,Oui
483,4249,4350,4,Mauvais,Non
484,3833,2072,3,Mauvais,Non
485,2527,15955,4,Bon,Non
486,4529,5790,3,Mauvais,Non
487,3771,5837,4,Mauvais,Non
488,4740,7257,1,Bon,Oui
489,2737,15274,8,Mauvais,Non
490,4742,8618,7,Mauvais,Non
491,3043,3607,6,Bon,Oui
492,3105,16753,9,Mauvais,Non
493,2297,13806,5,Bon,Non
494,2524,19393,10,Mauvais,Non
495,4451,11903,9,Bon,Non
496,2823,13798,2,Mauvais,Non
497,1638,11907,6,Mauvais,Non
498,2680,10138,4,Mauvais,Non
499,1752,15127,9,Mauvais,Non
500,1626,12494,8,Bon,Non
501,2437,12657,3,Mauvais,Non
502,3333,11317,2,Bon,Non
503,2676,12594,5,Bon,Non
504,2919,18388,8,Bon,Non
505,2051,5800,7,Mauvais,Non
506,1972,14598,10,Mauvais,Non
507,4258,13767,4,Bon,Non
508,2940,8557,10,Mauvais,Non
509,3579,13297,4,Mauvais,Non
510,3985,17694,5,Bon,Non
511,3220,15873,9,Bon,Non
512,3876,6274,1,Mauvais,Non
513,2450,3136,1,Mauvais,Non
514,3120,11531,10,Mauvais,Non
515,2573,14904,4,Mauvais,Non
516,4359,4312,1,Bon,Oui
517,3080,3088,4,Bon,Oui
518,1967,9547,1,Bon,Non
519,2998,18475,4,Mauvais,Non
520,3805,11877,1,Mauvais,Non
521,3741,12853,7,Mauvais,Non
522,4455,2368,7,Bon,Oui
523,2282,5181,8,Bon,Non
524,4435,13520,10,Bon,Non
525,1666,11027,9,Mauvais,Non
526,3998,9104,8,Mauvais,Non
527,4759,8675,4,Bon,Oui
528,2286,7048,8,Mauvais,Non
529,3332,18382,5,Mauvais,Non
530,4607,5478,10,Mauvais,Non
531,3973,6931,4,Mauvais,Non
532,3203,14315,2,Mauvais,Non
533,4706,17106,4,Bon,Non
534,2432,6005,3,Mauvais,Non
535,4580,4614,9,Bon,Oui
536,3572,3543,4,Bon,Oui
537,2076,17463,10,Mauvais,Non
538,3879,8133,3,Mauvais,Non
539,3273,2094,2,Mauvais,Non
540,3996,10494,1,Mauvais,Non
541,1857,6347,7,Bon,Non
542,3172,17994,1,Bon,Non
543,1639,14502,5,Mauvais,Non
544,1996,9287,10,Mauvais,Non
545,1868,6958,9,Bon,Non
546,2235,4511,1,Mauvais,Non
547,4523,19285,5,Bon,Non
548,1624,5140,2,Bon,Non
549,2110,15293,2,Bon,Non
550,4709,13954,1,Bon,Non
551,2473,16843,6,Mauvais,Non
552,3524,14885,4,Bon,Non
553,2523,15019,1,Bon,Non
554,2064,18327,2,Mauvais,Non
555,4659,5887,6,Mauvais,Non
556,2363,3879,7,Mauvais,Non
557,4732,9998,8,Bon,Non
558,4186,10080,1,Bon,Non
559,2581,2829,9,Bon,Oui
560,1679,16814,6,Mauvais,Non
561,2477,11892,8,Mauvais,Non
562,2191,10833,6,Mauvais,Non
563,2638,16538,8,Mauvais,Non
564,2017,14700,7,Bon,Non
565,2080,8113,6,Mauvais,Non
566,1584,10147,6,Mauvais,Non
567,4989,16172,3,Mauvais,Non
568,4861,12399,1,Bon,Non
569,2527,9116,7,Bon,Non
570,2495,18300,3,Bon,Non
571,3864,6452,6,Mauvais,Non
572,3528,19144,7,Mauvais,Non
573,3475,13173,6,Mauvais,Non
574,1893,8740,1,Mauvais,Non
575,2098,16231,2,Mauvais,Non
576,4590,9220,7,Bon,Non
577,3039,17799,8,Bon,Non
578,4358,15625,4,Bon,Non
579,4000,5420,9,Bon,Oui
580,4890,16833,1,Mauvais,Non
581,2250,10169,8,Mauvais,Non
582,1770,9279,10,Bon,Non
583,3615,9922,10,Bon,Non
584,4869,14069,8,Bon,Non
585,4094,10663,5,Mauvais,Non
586,2507,6213,8,Mauvais,Non
587,3936,19370,9,Mauvais,Non
588,1559,8318,7,Bon,Non
589,4465,15884,10,Bon,Non
590,2832,2224,8,Bon,Oui
591,3479,3013,1,Bon,Oui
592,2020,17085,1,Mauvais,Non
593,3266,11295,10,Mauvais,Non
594,2284,19656,5,Bon,Non
595,3641,4259,4,Mauvais,Non
596,4207,19381,8,Bon,Non
597,3405,7362,4,Mauvais,Non
598,4005,4069,1,Mauvais,Non
599,2406,14403,5,Mauvais,Non
600,3724,6067,5,Mauvais,Non
601,2040,3482,1,Mauvais,Non
602,3755,13865,1,Mauvais,Non
603,2578,18343,10,Bon,Non
604,2019,6624,8,Mauvais,Non
605,2509,6213,2,Bon,Non
606,3974,19177,7,Mauvais,Non
607,2333,3773,6,Mauvais,Non
608,3969,18953,7,Mauvais,Non
609,4918,6161,8,Mauvais,Non
610,4458,3253,3,Mauvais,Non
611,3317,8616,8,Mauvais,Non
612,2499,14016,5,Bon,Non
613,3249,9791,1,Bon,Non
614,1734,12608,8,Mauvais,Non
615,1547,14683,5,Bon,Non
616,4846,18842,5,Bon,Non
617,3243,9762,6,Bon,Non
618,2602,12755,2,Bon,Non
619,2940,11354,4,Mauvais,Non
620,2746,15834,2,Mauvais,Non
621,4028,17878,2,Mauvais,Non
622,3204,5813,10,Mauvais,Non
623,3615,4068,3,Bon,Oui
624,4445,5187,8,Mauvais,Non
625,3706,16283,7,Mauvais,Non
626,2955,3270,10,Bon,Oui
627,1993,11404,2,Bon,Non
628,1644,15772,3,Bon,Non
629,2533,10902,9,Bon,Non
630,3734,16143,2,Mauvais,Non
631,2555,17717,8,Mauvais,Non
632,3328,19991,9,Bon,Non
633,3542,14241,5,Mauvais,Non
634,3498,3688,6,Mauvais,Non
635,2303,11789,7,Bon,Non
636,3354,10886,4,Bon,Non
637,3578,11233,8,Bon,Non
638,4219,12078,4,Mauvais,Non
639,2517,9448,8,Bon,Non
640,2921,5312,4,Mauvais,Non
641,3681,15587,2,Mauvais,Non
642,2616,15930,8,Mauvais,Non
643,1759,10609,3,Bon,Non
644,2212,11884,3,Bon,Non
645,1618,2536,10,Bon,Oui
646,1596,2958,9,Bon,Oui
647,2784,17444,2,Bon,Non
648,4059,17698,2,Bon,Non
649,2973,11551,2,Bon,Non
650,4724,7862,2,Mauvais,Non
651,2607,3018,8,Mauvais,Non
652,1718,11220,7,Bon,Non
653,1970,13601,6,Mauvais,Non
654,3045,5637,7,Mauvais,Non
655,4448,2387,1,Mauvais,Non
656,2870,16995,2,Mauvais,Non
657,2210,5251,7,Bon,Non
658,3357,5410,7,Bon,Oui
659,4839,13160,3,Mauvais,Non
660,2130,15934,9,Mauvais,Non
661,4426,18283,1,Bon,Non
662,3448,17745,4,Bon,Non
663,3379,2103,9,Mauvais,Non
664,3882,13670,9,Mauvais,Non
665,4688,11225,5,Bon,Non
666,4655,6701,9,Bon,Oui
667,3113,13859,5,Bon,Non
668,2880,11454,3,Bon,Non
669,3416,13142,7,Bon,Non
670,2650,18892,3,Bon,Non
671,2600,4705,10,Bon,Oui
672,2995,16001,4,Bon,Non
673,2562,16635,1,Mauvais,Non
674,3434,7725,6,Mauvais,Non
675,3705,11111,8,Bon,Non
676,3977,19063,4,Bon,Non
677,1619,18226,9,Bon,Non
678,1906,12987,9,Mauvais,Non
679,3916,15424,9,Mauvais,Non
680,4152,3101,5,Bon,Oui
681,2886,11735,6,Mauvais,Non
682,2699,8767,5,Mauvais,Non
683,3240,14122,5,Bon,Non
684,1768,5070,6,Mauvais,Non
685,3615,10136,4,Mauvais,Non
686,2637,14815,10,Mauvais,Non
687,3226,13713,2,Mauvais,Non
688,2928,16844,10,Mauvais,Non
689,2070,10778,3,Bon,Non
690,4812,18803,10,Mauvais,Non
691,2262,12237,8,Bon,Non
692,4671,17836,6,Bon,Non
693,1634,18732,5,Bon,Non
694,2473,17676,7,Bon,Non
695,1854,16822,8,Bon,Non
696,4816,7286,2,Mauvais,Non
697,3233,9869,6,Mauvais,Non
698,2885,17299,7,Bon,Non
699,3487,14811,2,Bon,Non
700,3265,5435,3,Mauvais,Non
701,4729,5772,2,Bon,Oui
702,4382,7806,6,Bon,Oui
703,1716,16998,10,Bon,Non
704,2595,19775,7,Mauvais,Non
705,1663,5392,3,Bon,Non
706,1637,5936,2,Bon,Non
707,3329,11742,9,Bon,Non
708,1664,14051,7,Bon,Non
709,2299,17355,7,Mauvais,Non
710,4154,13331,4,Mauvais,Non
711,4554,15675,8,Mauvais,Non
712,4915,13844,9,Mauvais,Non
713,2625,3818,6,Mauvais,Non
714,3605,18815,2,Bon,Non
715,4453,15089,2,Mauvais,Non
716,2317,11120,2,Mauvais,Non
717,4564,11198,1,Bon,Non
718,3195,19126,1,Bon,Non
719,3089,9195,2,Bon,Non
720,3743,3182,3,Bon,Oui
721,2692,2055,7,Mauvais,Non
722,4999,10292,10,Bon,Non
723,3104,10438,10,Bon,Non
724,4187,15667,1,Bon,Non
725,1599,8192,5,Mauvais,Non
726,1630,18751,7,Bon,Non
727,4033,7284,7,Bon,Oui
728,3168,16642,2,Bon,Non
729,4210,19066,1,Mauvais,Non
730,4314,15173,2,Mauvais,Non
731,3445,13972,3,Bon,Non
732,2236,4496,3,Bon,Non
733,2630,17589,7,Bon,Non
734,4127,10526,9,Bon,Non
735,2198,7593,3,Bon,Non
736,3311,19848,7,Mauvais,Non
737,3274,16976,7,Mauvais,Non
738,1620,17562,2,Mauvais,Non
739,4585,3813,10,Bon,Oui
740,4415,16376,8,Bon,Non
741,1848,13135,3,Mauvais,Non
742,4558,14331,7,Mauvais,Non
743,2554,3606,1,Bon,Oui
744,3572,11808,6,Bon,Non
745,2420,13763,9,Bon,Non
746,2151,8406,9,Mauvais,Non
747,4615,5496,9,Bon,Oui
748,3921,18099,9,Bon,Non
749,2562,9650,2,Mauvais,Non
750,3506,3854,10,Mauvais,Non
751,1772,12905,10,Mauvais,Non
752,1718,5966,6,Mauvais,Non
753,3482,7952,1,Bon,Non
754,2588,6354,3,Mauvais,Non
755,4835,2387,9,Bon,Oui
756,4419,9859,8,Mauvais,Non
757,2795,15674,3,Bon,Non
758,4309,5648,2,Mauvais,Non
759,3347,2504,3,Mauvais,Non
760,3925,18133,7,Mauvais,Non
761,3952,13408,9,Mauvais,Non
762,2941,10837,9,Bon,Non
763,2024,8601,6,Mauvais,Non
764,2117,3738,9,Mauvais,Non
765,1794,12786,7,Mauvais,Non
